model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,taint_chain,1,72,-0.0010947055183316966,0.4583333333333333,0.898,-0.13169178427203862,0.02453398432740067,0.02562868984573237,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,trust_chain,1,72,0.0024789367399302414,0.7777777777777778,0.856,0.2814378659465002,0.030444844042026728,0.02796590730209649,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,trusted_expr,1,72,-0.007002530048767273,0.5138888888888888,0.398,-0.8236855754134083,0.011762525958159523,0.018765056006926798,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,other,0,72,-8.553253005243948e-08,0.19444444444444445,0.084,-1.180431575960674,0.9999999893105112,1.0000000748430413,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,signature,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,sink_arg,0,72,0.0,0.0,1.0,,0.0,0.0,0.6111111111111112,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,sink_call,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,source_expr,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,taint_chain,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,trust_chain,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,5723, safe,trusted_expr,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,other,0,72,-2.5520759405453198e-08,0.2222222222222222,0.57,-0.9321281449816311,1.0000000042532489,1.0000000297740081,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,signature,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,sink_arg,0,72,0.0,0.0,1.0,,0.0,0.0,0.6111111111111112,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,sink_call,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,source_expr,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,taint_chain,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,trust_chain,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
deepseek-coder-1.3b,clean_heldout,clean,-1,23,24281, vulnerable,trusted_expr,1,72,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
